"Our brands","Nos marques"
"Our Brands","Nos marques"
"our-brands","nos-marques"
"We answer your questions","Nous répondons à vos questions"
"See All","Tout voir"
"All brands","Toutes les marques"
"Our sectors of activity","Notre secteur d'activité"
"Download product sheet","Télécharger la fiche produit"
"Add to","Ajouter"
"My Wish List","Mes favoris"
"Follow us","Suivez-nous",
"Ascending","Croissant",module,Magento_Catalog
"Descending","Décroissant",module,Magento_Catalog
"The requested qty is not available","La quantité demandée n'est pas disponible"